IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
47	straw mat	žūù 					caca11	durr1987preliminary																																																								
47	straw mat	yūì					xaya11	durr1987preliminary																																																								
47	straw mat	yìwìʔ					ayut11	durr1987preliminary																																																								
47	straw mat	yūƀì 					metl11	durr1987preliminary																																																								
47	straw mat	yīwí					cahu11	durr1987preliminary																																																								
47	straw mat	yùƀǐ					mixt11	durr1987preliminary																																																								
47	straw mat	yùƀì					jica11	durr1987preliminary																																																								
47	straw mat	yūū					chay11	durr1987preliminary																																																								
49	stool	tèžú					peno11	durr1987preliminary																																																								
49	stool	tēžù					gran11	durr1987preliminary																																																								
49	stool	tēì					caca11	durr1987preliminary																																																								
49	stool	tāyì					alac11	durr1987preliminary																																																								
49	stool	tʸāyù					metl11	durr1987preliminary																																																								
49	stool	tāyī					cahu11	durr1987preliminary																																																								
49	stool	tāyū					jica11	durr1987preliminary																																																								
49	stool	tēì					chay11	durr1987preliminary																																																								
50	animal	kɨ̀tɨ̀	kɨ̀tɨ̀	deleted stress mark			diux11	durr1987preliminary																																																								
50	animal	kɨ̀tɨ̀					peno11	durr1987preliminary																																																								
50	animal	kītī					moli11	durr1987preliminary																																																								
50	animal	kītī					ocot11	durr1987preliminary																																																								
50	animal	kɨ̄tɨ̄					atat11	durr1987preliminary																																																								
50	animal	kɨ̄tɨ̄ 					gran11	durr1987preliminary																																																								
50	animal	kītì 					caca11	durr1987preliminary																																																								
50	animal	kīsì 					xaya11	durr1987preliminary																																																								
50	animal	kītí					metl11	durr1987preliminary																																																								
50	animal	kītī					cahu11	durr1987preliminary																																																								
50	animal	kítì					prog12	durr1987preliminary																																																								
50	animal	kìtì					jica11	durr1987preliminary																																																								
50	animal	kɨ̄tɨ̄					chay11	durr1987preliminary																																																								
51	bird	tɨ́-làá	tɨ́-làá	animal-bird			peno11	durr1987preliminary																																																								
51	bird	làá					coat11	durr1987preliminary																																																								
51	bird	sāà					ocot11	durr1987preliminary																																																								
51	bird	sāā					atat11	durr1987preliminary																																																								
51	bird	sāà					gran11	durr1987preliminary																																																								
51	bird	tì-lāà	tì-lāà	animal-bird			caca11	durr1987preliminary																																																								
51	bird	sàà					ayut11	durr1987preliminary																																																								
51	bird	sāā					metl11	durr1987preliminary																																																								
51	bird	sáá					cahu11	durr1987preliminary																																																								
51	bird	lāā					prog12	durr1987preliminary																																																								
51	bird	sāā					jica11	durr1987preliminary																																																								
52	fish	čákà	čákà	deleted stress mark			diux11	durr1987preliminary																																																								
52	fish	čáká					peno11	durr1987preliminary																																																								
52	fish	ȼàʔká					coat11	durr1987preliminary																																																								
52	fish	čākā					moli11	durr1987preliminary																																																								
52	fish	čàká					atat11	durr1987preliminary																																																								
52	fish	čáká 					gran11	durr1987preliminary																																																								
52	fish	tɨ̄-žáká	tɨ̄-žáká	animal-fish			gran11	durr1987preliminary																																																								
52	fish	tì-žākā	tì-žākā	animal-fish			caca11	durr1987preliminary																																																								
52	fish	s-yākā	s-yākā	animal-fish			xaya11	durr1987preliminary																																																								
52	fish	tʸàkáʔ					ayut11	durr1987preliminary																																																								
52	fish	tiáká					alac11	durr1987preliminary																																																								
52	fish	tʸàká					metl11	durr1987preliminary																																																								
52	fish	tʸāká					cahu11	durr1987preliminary																																																								
52	fish	tī-žàká	tī-žàká	animal-fish			prog12	durr1987preliminary																																																								
53	snake	kóó					peno11	durr1987preliminary																																																								
53	snake	kóǒ					coat11	durr1987preliminary																																																								
53	snake	kòò 					moli11	durr1987preliminary																																																								
53	snake	kōò					atat11	durr1987preliminary																																																								
53	snake	kōò 					gran11	durr1987preliminary																																																								
53	snake	kòò					caca11	durr1987preliminary																																																								
53	snake	kòò					xaya11	durr1987preliminary																																																								
53	snake	kōòʔ					ayut11	durr1987preliminary																																																								
53	snake	kòò					alac11	durr1987preliminary																																																								
53	snake	kōò 					metl11	durr1987preliminary																																																								
53	snake	kòó					mixt11	durr1987preliminary																																																								
53	snake	kòò					prog12	durr1987preliminary																																																								
53	snake	kóó					jica11	durr1987preliminary																																																								
53	snake	kòò					chay11	durr1987preliminary																																																								
54	frog	làʔƀá					peno11	durr1987preliminary																																																								
54	frog	ȼàʔƀá					coat11	durr1987preliminary																																																								
54	frog	sāʔƀà					gran11	durr1987preliminary																																																								
54	frog	sàʔƀà					mixt11	durr1987preliminary																																																								
54	frog	láʔƀà					prog12	durr1987preliminary																																																								
54	frog	sāʔƀā					jica11	durr1987preliminary																																																								
60	rat	tɨ̀ñɨ̀					peno11	durr1987preliminary																																																								
60	rat	Nɨ́ñɨ́					atat11	durr1987preliminary																																																								
60	rat	tɨ̄ní					gran11	durr1987preliminary																																																								
60	rat	tì̧ī̧					metl11	durr1987preliminary																																																								
60	rat	tì̧í̧					prog12	durr1987preliminary																																																								
60	rat	tɨ̄ñɨ́					jica11	durr1987preliminary																																																								
61	deer	ìđú					peno11	durr1987preliminary																																																								
61	deer	īsù					moli11	durr1987preliminary																																																								
61	deer	īsù					ocot11	durr1987preliminary																																																								
61	deer	īsù					gran11	durr1987preliminary																																																								
61	deer	yūsū					alac11	durr1987preliminary																																																								
61	deer	tn-ǖsǖ	tn-ǖsǖ	animal-deer			cahu11	durr1987preliminary																																																								
61	deer	ǖhǖ					prog12	durr1987preliminary																																																								
68	dog	ìná					peno11	durr1987preliminary																																																								
68	dog	t-ìná̧	t-ìná̧	animal-dog			coat11	durr1987preliminary																																																								
68	dog	īnà					moli11	durr1987preliminary																																																								
68	dog	t-īnà	t-īnà	animal-dog			ocot11	durr1987preliminary																																																								
68	dog	īnā					atat11	durr1987preliminary																																																								
68	dog	īnà					gran11	durr1987preliminary																																																								
68	dog	t-ì̧nā̧	t-ì̧nā̧	animal-dog			caca11	durr1987preliminary																																																								
68	dog	sì-īnà	sì-īnà	animal-dog			xaya11	durr1987preliminary																																																								
68	dog	īnā̧					alac11	durr1987preliminary																																																								
68	dog	ñīnā					cahu11	durr1987preliminary																																																								
68	dog	t-i᷅nā	t-i᷅nā	animal-dog			mixt11	durr1987preliminary																																																								
68	dog	t-ìnā	t-ìnā	animal-dog			prog12	durr1987preliminary																																																								
68	dog	īnā					jica11	durr1987preliminary																																																								
73	horse	íđú 					coat11	durr1987preliminary																																																								
73	horse	īđū 					xaya11	durr1987preliminary																																																								
80	tree	žùtù̧					peno11	durr1987preliminary																																																								
80	tree	žūtū̧ 					moli11	durr1987preliminary																																																								
80	tree	ñū̧tū̧					ocot11	durr1987preliminary																																																								
80	tree	žūNū					atat11	durr1987preliminary																																																								
80	tree	žūnū 					gran11	durr1987preliminary																																																								
80	tree	žītò̧					caca11	durr1987preliminary																																																								
80	tree	ìtú̧ʔ					ayut11	durr1987preliminary																																																								
80	tree	yūtú̧					metl11	durr1987preliminary																																																								
80	tree	yītnō					cahu11	durr1987preliminary																																																								
80	tree	žítò					prog12	durr1987preliminary																																																								
80	tree	yùtù̧					jica11	durr1987preliminary																																																								
81	herb, bush	žúkú					peno11	durr1987preliminary																																																								
81	herb, bush	žùkù					moli11	durr1987preliminary																																																								
81	herb, bush	žùkù					ocot11	durr1987preliminary																																																								
81	herb, bush	žūkù					atat11	durr1987preliminary																																																								
81	herb, bush	žūkù					gran11	durr1987preliminary																																																								
81	herb, bush	yǜkǜ					cahu11	durr1987preliminary																																																								
81	herb, bush	yùkù					chay11	durr1987preliminary																																																								
81	leaf	yūkù 					ayut11	durr1987preliminary																																																								
81	weeds	žǜkǜ					prog12	durr1987preliminary																																																								
83	flower	ìtá					peno11	durr1987preliminary																																																								
83	flower	làà					coat11	durr1987preliminary																																																								
83	flower	ītà					moli11	durr1987preliminary																																																								
83	flower	ītà					ocot11	durr1987preliminary																																																								
83	flower	ītā					atat11	durr1987preliminary																																																								
83	flower	ītā					gran11	durr1987preliminary																																																								
83	flower	ìtà					ayut11	durr1987preliminary																																																								
83	flower	ītā					metl11	durr1987preliminary																																																								
83	flower	yītā					cahu11	durr1987preliminary																																																								
83	flower	ītà					mixt11	durr1987preliminary																																																								
83	flower	ītā					jica11	durr1987preliminary																																																								
83	flower	ītà					chay11	durr1987preliminary																																																								
87	corn	núní					peno11	durr1987preliminary																																																								
87	corn	nùnì					moli11	durr1987preliminary																																																								
87	corn	nùnì					ocot11	durr1987preliminary																																																								
87	corn	nūnì					atat11	durr1987preliminary																																																								
87	corn	nūnì					gran11	durr1987preliminary																																																								
87	corn	nūnìʔ					ayut11	durr1987preliminary																																																								
87	corn	nùnì					metl11	durr1987preliminary																																																								
87	corn	nùnī					metl11	durr1987preliminary																																																								
87	corn	nònì					cahu11	durr1987preliminary																																																								
87	corn	nù̧nì̧					prog12	durr1987preliminary																																																								
87	corn	núní					jica11	durr1987preliminary																																																								
92	tortilla	đítá					peno11	durr1987preliminary																																																								
92	tortilla	íʔtǎ					coat11	durr1987preliminary																																																								
92	tortilla	stàà 					moli11	durr1987preliminary																																																								
92	tortilla	šìtà					ocot11	durr1987preliminary																																																								
92	tortilla	stāà					atat11	durr1987preliminary																																																								
92	tortilla	stāà 					gran11	durr1987preliminary																																																								
92	tortilla	đìtà 					caca11	durr1987preliminary																																																								
92	tortilla	đìtà 					xaya11	durr1987preliminary																																																								
92	tortilla	štā ̀ʔ					ayut11	durr1987preliminary																																																								
92	tortilla	sìtà					alac11	durr1987preliminary																																																								
92	tortilla	sītà					metl11	durr1987preliminary																																																								
92	tortilla	sītā					cahu11	durr1987preliminary																																																								
92	tortilla	stàá					mixt11	durr1987preliminary																																																								
92	tortilla	hìtà					prog12	durr1987preliminary																																																								
92	tortilla	šítá					jica11	durr1987preliminary																																																								
92	tortilla	šìtà					chay11	durr1987preliminary																																																								
96	beans	ⁿdùčì					peno11	durr1987preliminary																																																								
96	beans	ⁿdùʔȼì					coat11	durr1987preliminary																																																								
96	beans	ⁿdūčī					moli11	durr1987preliminary																																																								
96	beans	ⁿdūčī					atat11	durr1987preliminary																																																								
96	beans	ⁿdūčī 					gran11	durr1987preliminary																																																								
96	beans	ⁿdūčī 					caca11	durr1987preliminary																																																								
96	beans	ⁿdùčíʔ					ayut11	durr1987preliminary																																																								
96	beans	ⁿdūčù					alac11	durr1987preliminary																																																								
96	beans	ⁿdǜčǜ					cahu11	durr1987preliminary																																																								
96	beans	ⁿdǘčǜ					prog12	durr1987preliminary																																																								
96	beans	ⁿdūtʸī					chay11	durr1987preliminary																																																								
98	chile	žàʔà	žàʔà	deleted stress mark			diux11	durr1987preliminary																																																								
98	chile	žàʔà					peno11	durr1987preliminary																																																								
