IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
158	dos	ùwì					prom01	swanton2020observaciones																																																								
158	dos	u¹bi¹					alco11	swanton2020observaciones																																																								
158	dos	u²bi²¹					zaca11	swanton2020observaciones																																																								
158	dos	u²u¹					chal11	swanton2020observaciones																																																								
158	dos	y¹y¹					yucu16	swanton2020observaciones																																																								
161	cinco	òʔõ̀					prom01	swanton2020observaciones																																																								
161	cinco	u¹ʔũ¹					alco11	swanton2020observaciones																																																								
161	cinco	u²ʔũ²¹					zaca11	swanton2020observaciones																																																								
161	cinco	u²ʔũ¹					chal11	swanton2020observaciones																																																								
161	cinco	o¹ʔõ¹					yucu16	swanton2020observaciones																																																								
162	seis	ìjõ̀					prom01	swanton2020observaciones																																																								
162	seis	i¹ɲu¹					alco11	swanton2020observaciones																																																								
162	seis	i²ɲu²¹					zaca11	swanton2020observaciones																																																								
162	seis	i²ɲu¹					chal11	swanton2020observaciones																																																								
162	seis	i¹ɲo¹					yucu16	swanton2020observaciones																																																								
169	pobre	ʔ-ⁿdáʔwì					prom01	swanton2020observaciones																																																								
169	pobre	ⁿda⁴ʔbi²					alco11	swanton2020observaciones																																																								
169	pobre	ⁿda²ʔbi³					zaca11	swanton2020observaciones																																																								
169	pobre	ⁿda³ʔu³					chal11	swanton2020observaciones																																																								
169	pobre	ⁿda³ʔo³					yucu16	swanton2020observaciones																																																								
171	frio	wìxĩ́					prom01	swanton2020observaciones																																																								
171	frio	bi¹ʃĩ³					alco11	swanton2020observaciones																																																								
171	frio	bi²ʧĩ²¹					zaca11	swanton2020observaciones																																																								
171	frio	bi¹xĩ²					chal11	swanton2020observaciones																																																								
171	frio	bi¹ʃi²					yucu16	swanton2020observaciones																																																								
173	grande	(ʔ²)-káʔnó					prom01	swanton2020observaciones																																																								
173	grande	ka⁴ʔnu³					alco11	swanton2020observaciones																																																								
173	grande	ka²ʔnu²					zaca11	swanton2020observaciones																																																								
173	grande	ka³ʔnu²					chal11	swanton2020observaciones																																																								
173	grande	ka³ʔno²					yucu16	swanton2020observaciones																																																								
186	flojo	(ʔ¹)-súxẽ́					prom01	swanton2020observaciones																																																								
