IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
143,ñumi,swelling,hinchazón,(ka) kʷi̧ņo̧
143,ñumi,swelling,hinchazón,[xaa]
144,ñumi,pimple,grano,ⁿdiʔi
145,ñumi,it thunders,truena,ka̧ʔⁿdi
146,ñumi,rainbow,arco iris,ti ko žȩʔⁿde
147,ñumi,bird,pájaro,ti saa
148,ñumi,frog,rana,saʔƀa
148,ñumi,frog,rana,[likʷii]
149,ñumi,navel,ombligo,šȩⁿdu
150,ñumi,urine,orina,NA
151,ñumi,chachalaca,chachalaca,(či̧u̧) ⁿdaxa̧
152,ñumi,smooth,lisa,[liso]
153,ñumi,little,chico,lulu
154,ñumi,day,día,kiu
155,ñumi,when,cuándo,[na̧ kiu]
155,ñumi,when,cuándo,na̧ʔma̧
156,ñumi,plain,llano,žoso
157,ñumi,how,cómo,na̧ša(a)
158,ñumi,carry,cargar,xiso
159,ñumi,cockroach,cucaracha,[ⁿdi teʔa]
160,ñumi,glue,pegamento,[pegamento]
161,ñumi,sickness,enfermedad,kʷeʔe
162,ñumi,see,ver,ⁿdʸaʔa
163,ñumi,slow,despacio,kʷee
164,ñumi,house,casa,weʔe
165,ñumi,mamey,mamey,[mamey]
166,ñumi,grind,moler,ⁿdiko
167,ñumi,wing,ala,ⁿdixi̧
168,ñumi,stool,banquito,tei
169,ñumi,cornfield,milpa,itu
170,ñumi,yesterday,ayer,iku
171,ñumi,other,otro,NA
172,ñumi,comb,peine,kʷika
173,ñumi,be born,se nació,kaku
174,ñumi,smart,sabio,[y̧a̧ma̧]
175,ñumi,stone,piedra,žuu
176,ñumi,mouth,boca,žuʔu
177,ñumi,I,yo,[ma̧a̧-ni̧]
178,ñumi,dew,rocío,žužu
179,ñumi,brush,hierba,žuku
180,ñumi,furrow,surco,žuku̧
181,ñumi,trousers,calzón,[kalso̧n]
182,ñumi,priest,sacerdote,sutu
183,ñumi,brand,fierro,tnu̧ni̧
184,ñumi,will know,sabrá,[ko ⁿdaʸaʔa]
185,ñumi,squirrel,ardilla,kʷa̧nu̧
186,ñumi,loose,floja,taža
187,ñumi,heavy,pesado,ƀee
188,ñumi,tobacco,tobaco,i̧nu̧=cigarro
1,achi,rain,lluvia,(kú̧ú̧) saƀi
2,achi,agave,maguey,žaƀi
3,achi,straw mat,petate,žúú
4,achi,four,cuatro,tNu̧u̧
5,achi,feather,pluma,tNu̧u̧
6,achi,tail,cola,su̧ʔma̧
7,achi,wax,cera,ņu̧ma̧
8,achi,nose,nariz,šitNi̧
9,achi,word,palabra,tNu̧ʔu̧
10,achi,near,está cerca,žatNi̧
11,achi,tree,árbol,žutNu̧
12,achi,deer,venado,isu
13,achi,lard,manteca,šȩʔȩ
14,achi,smell,olor,(xa̧a̧) šiko
