IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
15,dueño,ši-toʔo,esta11,63,silm
15,dueño,ši-toʔo,este11,63,este
15,dueño,xi-toʔō,gran11,63,mig
15,dueño,stoʔo,guad11,63,guad
15,dueño,či-toʔo,huaz11,63,huaz
15,dueño,i-toʔo,huit11,63,huit
15,dueño,yi-toʔo,itun11,63,itun
15,dueño,stoʔo,ixpa11,63,ixpn
15,dueño,či-toʔo,ixta11,63,ixty
15,dueño,es-toʔo,ixta12,63,ixtl
15,dueño,či-toʔo,jami11,63,jam
15,dueño,či-toʔo,jica11,63,jict
15,dueño,či-toʔo,jica12,63,jicy
15,dueño,stoʔo,joco11,63,joco
15,dueño,stoʔo,juxt11,63,juxt
15,dueño,či-toʔo,lore11,63,lor
15,dueño,či-toʔo,mech11,63,mech
15,dueño,stoʔo,mixt11,63,mix
15,dueño,xi-tóʔo,moli11,63,moli
15,dueño,i-toʔo,mont13,63,verd
15,dueño,ᵐƀaʔa,more11,63,mor
15,dueño,ši-toʔo,nuch11,63,nuch
15,dueño,a-stoʔo,nuxa11,63,nuxa
15,dueño,a-stoʔo,nuxi11,63,nuxi
15,dueño,nā̧-ⁿdí̧í̧-ņú̧ù̧-vā,nuyo11,63,nuyo
15,dueño,xè-tōʔò,ocot11,63,oco
15,dueño,ší-tóʔó,peno11,63,peño
15,dueño,i-toʔo,pied11,63,pied
15,dueño,či-toʔo,pino11,63,pinn
15,dueño,či-toʔo,pino12,63,pinl
15,dueño,xi-toʔo,prom01,63,p-mixtec
15,dueño,štoʔo,reye11,63,rey
15,dueño,či-toʔo,sayu11,63,sayu
15,dueño,i-toʔo,sind11,63,sind
15,dueño,stoʔo,tama11,63,tamj
15,dueño,ʔis-toʔo,tama12,63,tams
15,dueño,ʔes-toʔo,teco11,63,teco
15,dueño,xi-toʔo,teit11,63,teit
15,dueño,stoʔo,tepe11,63,tepj
15,dueño,či-toʔo,tepe12,63,tept
15,dueño,stoʔo,tepo11,63,tepo
15,dueño,stoʔo,tida11,63,tida
15,dueño,stoʔo,tila11,63,til
15,dueño,xi-toʔo,tlac11,63,tlac
15,dueño,tee-đeʔe-ši,tlal11,63,tlal
15,dueño,ši-toʔo,tlaz11,63,tlaz
15,dueño,stoʔo,tona11,63,ton
15,dueño,ča-čii,tutu11,63,tut
15,dueño,či-toʔo,tutu11,63,tut
15,dueño,stōʔō,xaya12,63,xay
15,dueño,ši-toʔo,yolo11,63,yolt
