IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
84,maguey,yajvǐ,,3354,,flor12,josserand1983mixtec
84,maguey,yavì,,3355,,mont12,josserand1983mixtec
84,maguey,yávi,,3356,,mixt11,josserand1983mixtec
84,maguey,viìntyà' víxin,,3357,,tlah11,josserand1983mixtec
84,maguey,tsìkǔxin,,3358,,pied12,josserand1983mixtec
84,maguey,yàjvǐ,,3359,,flor12,josserand1983mixtec
84,maguey,,,3360,,mont12,josserand1983mixtec
85,raíz,tyò'o,,3361,,tlah11,josserand1983mixtec
85,raíz,tsiò'o,,3362,,pied12,josserand1983mixtec
85,raíz,tsiò'o,,3363,,flor12,josserand1983mixtec
85,raíz,yò'ò,,3364,,mont12,josserand1983mixtec
85,raíz,yo'ó,,3365,,mixt11,josserand1983mixtec
86,"espina, araña",iñú,,3366,,tlah11,josserand1983mixtec
86,"espina, araña",ijñǔ,,3367,,pied12,josserand1983mixtec
86,"espina, araña",ijñǔ,,3368,,flor12,josserand1983mixtec
86,"espina, araña",iñò,,3369,,mont12,josserand1983mixtec
86,"espina, araña",iñǔ,,3370,,mixt11,josserand1983mixtec
87,maíz,nùní,,3371,,tlah11,josserand1983mixtec
87,maíz,nùnǐ,,3372,,pied12,josserand1983mixtec
87,maíz,nùjnǐ,,3373,,flor12,josserand1983mixtec
87,maíz,nònì,,3374,,mont12,josserand1983mixtec
87,maíz,nùnǐ,,3375,,mixt11,josserand1983mixtec
88,milpa,itu,,3376,,tlah11,josserand1983mixtec
88,milpa,utû,,3377,,pied12,josserand1983mixtec
88,milpa,ujtû,,3378,,flor12,josserand1983mixtec
88,milpa,itì,,3379,,mont12,josserand1983mixtec
88,milpa,itù,,3380,,mixt11,josserand1983mixtec
89,"elote (no crudo, para comer)",ndixín,,3381,,tlah11,josserand1983mixtec
89,"elote (no crudo, para comer)",nchixǐ,,3382,,pied12,josserand1983mixtec
89,"elote (no crudo, para comer)",nchìxǐ,,3383,,flor12,josserand1983mixtec
89,"elote (no crudo, para comer)",ndixì,,3384,,mont12,josserand1983mixtec
89,"elote (no crudo, para comer)",ndixî,,3385,,mixt11,josserand1983mixtec
90,nixtamal,xá'a,,3386,,tlah11,josserand1983mixtec
90,nixtamal,xá'a,,3387,,pied12,josserand1983mixtec
90,nixtamal,xá'a,,3388,,flor12,josserand1983mixtec
90,nixtamal,,,3389,,mont12,josserand1983mixtec
90,nixtamal,tsa'á,,3390,,mixt11,josserand1983mixtec
91,masa,yùxán,,3391,,tlah11,josserand1983mixtec
91,masa,ixǎn,,3392,,pied12,josserand1983mixtec
91,masa,ixǎn,,3393,,flor12,josserand1983mixtec
91,masa,yusà,,3394,,mont12,josserand1983mixtec
91,masa,yútsa,,3395,,mixt11,josserand1983mixtec
92,tortilla,xìtá,,3396,,tlah11,josserand1983mixtec
92,tortilla,xìtǎ,,3397,,pied12,josserand1983mixtec
92,tortilla,xìtǎ,,3398,,flor12,josserand1983mixtec
92,tortilla,xìtà,,3399,,mont12,josserand1983mixtec
92,tortilla,stàá,,3400,,mixt11,josserand1983mixtec
93,rastrojo,xe'è nùú ñu'ú,,3401,,tlah11,josserand1983mixtec
93,rastrojo,xè'è,,3402,,pied12,josserand1983mixtec
93,rastrojo,xè'è mii,,3403,,flor12,josserand1983mixtec
