"ID"	"DOCULECT"	"CONCEPT"	"GLOSS"	"VALUE"	"FORM"	"IDlist"	"CONCEPTICON_ID"	"LOAN"	"LOAN_SOURCE"	"SOURCE"	"FLOATTONE"	"VARIETY_CODE"
496	"AyutlalosLibresMixtec"	"ROPE"	"rope"	"yohōh"	"yohōh"	129	1218	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
13493	"AyutlalosLibresMixtec"		"agujero"	"yāvi"	"yāvi"	130		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
13568	"AyutlalosLibresMixtec"	"NETRED"	"red"	"ñu̧nu̧ʔ"	"ñu̧nu̧ʔ"	131	2963156	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
497	"AyutlalosLibresMixtec"	"SOAP"	"soap"	"nāmah"	"nāmah"	132	788	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4834	"AyutlalosLibresMixtec"	"SOAP"	"soap"	"nāmàʔ"	"nāmàʔ"	132	788	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
498	"AyutlalosLibresMixtec"	"MOON"	"moon"	"yōoh"	"yōoh"	134	1313	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
499	"AyutlalosLibresMixtec"	"CLOUD"	"cloud"	"vīkoh"	"vīkoh"	135	1489	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
500	"AyutlalosLibresMixtec"	"WATER"	"water"	"tikwī"	"tikwī"	137	948	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4857	"AyutlalosLibresMixtec"	"WATER"	"water"	"ti kʷii"	"ti-kʷii"	137	948	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
13685	"AyutlalosLibresMixtec"	"WATER"	"agua"	"ti-kʷii"	"ti-kʷii"	137	948	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
501	"AyutlalosLibresMixtec"	"RAIN (PRECIPITATION)"	"rain (precipitation)"	"sāvih"	"sāvih"	138	658	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
13821	"AyutlalosLibresMixtec"	"RAIN (PRECIPITATION)"	"lluvia"	"sawiʔ"	"sawiʔ"	138	658	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
502	"AyutlalosLibresMixtec"	"RIVER"	"river"	"itya"	"itya"	139	666	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
13940	"AyutlalosLibresMixtec"	"RIVER"	"río"	"itʸa"	"itʸa"	139	666	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
14062	"AyutlalosLibresMixtec"		"rocío"	"yūyūʔ"	"yūyūʔ"	140		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
503	"AyutlalosLibresMixtec"		"mountain"	"ikūh"	"ikūh"	141		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
14156	"AyutlalosLibresMixtec"		"cerro"	"iʰkūʔ"	"iʰkūʔ"	141		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
14282	"AyutlalosLibresMixtec"		"llano"	"ñu̧ʔū̧-ⁿdāā"	"ñu̧ʔū̧-ⁿdāā"	142		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
14283	"AyutlalosLibresMixtec"		"llano"	"yosoʔ"	"yosoʔ"	142		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
504	"AyutlalosLibresMixtec"		"stone"	"yūuh"	"yūuh"	143		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4886	"AyutlalosLibresMixtec"		"stone"	"yūùʔ"	"yūùʔ"	143		"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
14412	"AyutlalosLibresMixtec"	"STONE OR ROCK"	"piedra"	"yūuʔ"	"yūuʔ"	143	857	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
4897	"AyutlalosLibresMixtec"	"COTTON"	"cotton"	"kāčìʔ"	"kāčìʔ"	144	1850	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
14535	"AyutlalosLibresMixtec"	"COTTON"	"algodón"	"kāʰčiʔ"	"kāʰčiʔ"	144	1850	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
505	"AyutlalosLibresMixtec"	"METALMETAL"	"metal"	"kaa"	"kaa"	145	22442244	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
