Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ù	ù	kùʔù, yùkù	mixt11, tlah11, peno11, flor12, ocot11, metl11, ayut11, coat11, pied12, jica11, atat11, xaya11, abas11, moli11, caca11, gran11, chay11, mont12, cahu11, alac11, diux11	100	U+00f9
á$	á	kʷáʔá, kwáhá	diux11, coat11, prog12, alac11, peno11, ocot11, yoso11, mixt11, jica11, gran11, ayut11, jami11, cahu11, xaya11, abas11, caca11, atat11, chic02, chay11, conc11, metl11	100	U+00e1 U+0024
^v	v	ve'e, và'a	tlah11, diux11, abas11, alac11, ayut11, pied12, yoso11, flor12, prog12, mont12, mixt11, coat11, ocot11, jami11, tepo01, conc11	100	U+005e U+0076
l	l	válí, chéle	tlah11, mont12, peno11, alac11, atat11, yolo11, chic02, chay11, caca11, ayut11, jica13, ocot11, papa11, xoch11, diux11, pena11, juxt11, flor11, zaca11, flor12, nuyo11, prom01, pied12, prog12, tila11, more11, tlaz11, apoa11, tama11, gran11, jami11, chic12, tlal11, esta11, pied11, nund13, tama12, colo11, apas11, yoso11, este11, zapo11, mixt11, xaya11, abas11, moli11, copa11, mica11, yuta11	100	U+006c
^ʔ	ʔ	ʔìvì, ʔiti	yucu15, prom01, yucu12, nuyo11, teco11, reye11, tama12, coic11, ahue11, dura11, ixpa11, tlac12, aten11, yucu13, guad11, nuch11, ocot11, prog11, prog12, cris11, coxc11, peno11, achi11	100	U+005e U+0294
ā	ā	ñānī, nāná	ayut11, conc11, yoso11, prog12, ocot11, alac11, jami11, coat11, diux11, cahu11	100	U+0101
ī	ī	ndī-kāchī, ndīkā	ayut11, alac11, conc11, jami11, ocot11, yoso11, prog12, coat11, caca11, xaya11, metl11, jica11, gran11	100	U+012b
^u̧	u̧	u̧ni̧, u̧ñi̧	atat11, achi11, apas11, coat11, alco11, adeq11, amat11, prog12, tila11, tepe12, tejo11, tlac11, tlaz11, tata11, toto12, tona11, chig11, esta11, nund12, mont12, nund13, ixta11, yoso11, este11, coso11, chay11, mont13, alac11, tepo11, tutu11, brav11, mica11, atoy11, sini11, nund11, huit11, juxt11, mont14, jate11, flor11, jami11, yolo12, ixta12, pied11, yucu16, tida11, acat11, coxc11, yolo11, sayu11, chay12, jica12, cuat11, chaz11, teit11, nuti11, cuau11, pino11, apoa11, zaca11, tama11, gran11, tlal11, tepe11, chic11, colo11, chal11, prog11, ndua11, sind11, yuta11, joco11, cris11, yucu14, more11, jica11, pino12, nuxi11, itun11, ayut11, nuxa11, cuya11, lore11, mixt11, pena12, xaya11, yucu11, moli11, mech11, yuta12, huaz11, ixta13, diux11	100	U+005e U+0075 U+0327
ee$	ee	tee, wee	caca11, tepo01, tepe03, apas11, chic02, coxc11, chay11, mica11, apoa11, zaca11, chic11, colo11, este11, acat11, adeq11, soya11, ixta13, cuil11, cris11, mont14, tlac11, tata11, nuxi11, tlaz11, chig11, tlac12, flor11, tama11, itun11, esta11, nund12, tlal11, alco11, nuxa11, cahu11, tlah11, ixta12, aten11, nund13, pied11, chal11, joco11, tida11, dura11, soso11, coso11, pena12, mont13, prog11, achi11, chay12, cuat11, xoch11, chaz11, yucu11, tepo11, abas11, ahue11, sind11, tutu11, amat11, brav11, diux11, yuta12, guad11, huaz11, yuta11, atoy11, sini11, nund11, huit11	100	U+0065 U+0065 U+0024
ž	ž	težu, ⁿdɨʔžɨ	nuch11, prog12, yucu15, gran11, pied11, peno11, sind11, tlaz11, tlac11, tama11, este11, yucu11, ahue11, moli11, ixpa11, cuau11, yuta12, yucu12, jate11, caca11, esta11, nuxa11, aten11, tama12, chal11, yoso11, yolo11, ocot11, soya11, huit11, cris11, tila11, mont14, atat11, mont12, nund13, apas11, achi11, adeq11, reye11, yuta11, diux11, sini11, cuil11	100	U+017e
ū	ū	yūkū, ñūú	ayut11, conc11, ocot11, jami11, yoso11, alac11, diux11, prog12, coat11	100	U+016b
ʔ$	ʔ	ⁿdiča̧ʔ, nɨyi̧ʔ	prom01, zaca11, ayut11, tepe12, tejo11, jica11, ixta11, sayu11, pino12, jica12, atoy11	100	U+0294 U+0024
²	²	i²ʃi²ʔ, te²=a²ma²	papa11, zaca11, chal11, yolo11, yucu16, alco11	100	U+00b2
ʔw	ʔw	saʔwa, yuʔwa	prom01, ayut11, cahu11, nuxa11, alac11, tepe12, nuxi11, chig11, apoa11, alco11, pied11, chic11, apas11, cuya11, dura11, acat11, lore11, chay11, cuat11, ndua11, teit11, sind11, mech11, brav11, cuau11, huaz11, joco11, atoy11, huit11, tila11, tlaz11, tata11, pino12, flor11, atat11, tama11, itun11, tepe11, yolo12, ixta12, ixta11, tida11, este11, nuyo11, coso11, zapo11, mixt11, sayu11, chay12, prog11, jica12, yucu11, tepo11, ahue11, soya11, tutu11, guad11, cuil11	100	U+0294 U+0077
ā$	ā	kʷàʔā, sāvā	prog12, alac11, yoso11, conc11, ocot11, jami11, coat11, metl11, gran11, cahu11, moli11, atat11, xaya11, diux11, mixt11, chay11, ayut11	100	U+0101 U+0024
o̧$	o̧	ko̧ño̧, no̧ʔo̧	cahu11, brav11, alac11, caca11, cuat11, soya11, apoa11, esta11, sind11, tutu11, huaz11, cuil11, chic11, acat11, itun11, jami11, zapo11, chay11, prom01, tepo11, mech11, joco11, cris11, jate11, tlac11, zaca11, nuxa11, pied11, apas11, yolo11, lore11, prog11, ndua11, reye11, nuti11, yuta11, atoy11	100	U+006f U+0327 U+0024
