ID,Doculect,Concept,Form,PMCouplet,CogID_Durr,ToneMod,CitForm
72,peno11,dog,ìná,HL,45,no,no
156,coat11,dog,t-ìná̧,HL,45,no,yes
230,moli11,dog,īnà,HL,45,no,no
293,ocot11,dog,t-īnà,HL,45,no,no
369,atat11,dog,īnā,HL,45,no,no
474,gran11,dog,īnà,HL,45,no,no
565,caca11,dog,t-ì̧nā̧,HL,45,no,no
627,xaya11,dog,sì-īnà,HL,45,no,no
738,alac11,dog,īnā̧,HL,45,no,no
859,cahu11,dog,(ñ)īnā,HL,45,no,no
924,mixt11,dog,t-i᷅nā,HL,45,no,no
990,prog12,dog,t-ìnā,HL,45,no,no
1070,jica11,dog,īnā,HL,45,no,no
73,peno11,stomach,(šɨ̀tɨ́),LH,46,no,no
231,moli11,stomach,čìī,LH,46,no,no
294,ocot11,stomach,čìhī,LH,46,no,no
370,atat11,stomach,čìhī,LH,46,no,no
475,gran11,stomach,čìī,LH,46,no,no
566,caca11,stomach,tìšī,LH,46,no,no
790,metl11,stomach,tīšī,LH,46,no,no
860,cahu11,stomach,tīšī,LH,46,no,no
925,mixt11,stomach,tīȼī,LH,46,no,no
991,prog12,stomach,tìšī,LH,46,no,no
1071,jica11,stomach,tíčí,LH,46,no,no
74,peno11,man,téè,LH,47,no,no
232,moli11,man,tèē,LH,47,no,no
295,ocot11,man,tèē,LH,47,no,no
371,atat11,man,tèē,LH,47,no,no
476,gran11,man,čàā,LH,47,no,no
628,xaya11,man,tʸàā,LH,47,no,no
685,ayut11,man,tʸāà,LH,47,no,no
791,metl11,man,tʸàā,LH,47,no,no
926,mixt11,man,čàā,LH,47,no,no
992,prog12,man,tàà,LH,47,no,no
75,peno11,word,túʔù̧,LH,48,no,no
157,coat11,word,tù̧ʔú̧,LH,48,no,yes
372,atat11,word,Nù̧ʔū̧,LH,48,no,no
477,gran11,word,tù̧ʔū̧,LH,48,no,no
686,ayut11,word,tù̧ʔù̧,LH,48,no,no
