ID	Doculect	Concept	Form	PMCouplet	CogID_Durr	ToneMod	CitForm	IDlist	ID
819	metl11	rat	tì̧ī̧	MT	92	no	no	60	2403
1030	prog12	rat	tì̧í̧	MT	92	no	no	60	2404
1098	jica11	rat	tɨ̄ñɨ́	MT	92	no	no	60	2405
70	peno11	deer	ìđú	HL	43	no	no	61	2406
228	moli11	deer	īsù	HL	43	no	no	61	2407
291	ocot11	deer	īsù	HL	43	no	no	61	2408
472	gran11	deer	īsù	HL	43	no	no	61	2409
737	alac11	deer	yūsū	HL	43	no	no	61	2410
857	cahu11	deer	tn-ǖsǖ	HL	43	no	no	61	2411
988	prog12	deer	ǖhǖ	HL	43	no	no	61	2412
72	peno11	dog	ìná	HL	45	no	no	68	2413
156	coat11	dog	t-ìná̧	HL	45	no	yes	68	2414
230	moli11	dog	īnà	HL	45	no	no	68	2415
293	ocot11	dog	t-īnà	HL	45	no	no	68	2416
369	atat11	dog	īnā	HL	45	no	no	68	2417
474	gran11	dog	īnà	HL	45	no	no	68	2418
565	caca11	dog	t-ì̧nā̧	HL	45	no	no	68	2419
627	xaya11	dog	sì-īnà	HL	45	no	no	68	2420
738	alac11	dog	īnā̧	HL	45	no	no	68	2421
859	cahu11	dog	ñīnā	HL	45	no	no	68	2422
924	mixt11	dog	t-i᷅nā	HL	45	no	no	68	2423
990	prog12	dog	t-ìnā	HL	45	no	no	68	2424
1070	jica11	dog	īnā	HL	45	no	no	68	2425
155	coat11	horse	íđú 	HL	43	no	no	73	2426
626	xaya11	horse	īđū 	HL	43	no	no	73	2427
36	peno11	tree	žùtù̧	HHʔ	7	no	no	80	2428
204	moli11	tree	žūtū̧ 	HHʔ	7	yes	no	80	2429
274	ocot11	tree	ñū̧tū̧	HHʔ	7	no	no	80	2430
335	atat11	tree	žūNū	HHʔ	7	no	no	80	2431
435	gran11	tree	žūnū 	HHʔ	7	yes	no	80	2432
546	caca11	tree	žītò̧	HHʔ	7	no	no	80	2433
663	ayut11	tree	ìtú̧ʔ	HHʔ	7	no	no	80	2434
768	metl11	tree	yūtú̧	HHʔ	7	no	no	80	2435
832	cahu11	tree	yītnō	HHʔ	7	no	no	80	2436
966	prog12	tree	žítò	HHʔ	7	no	no	80	2437
1049	jica11	tree	yùtù̧	HHʔ	7	no	no	80	2438
107	peno11	herb, bush	žúkú	LL	85	no	no	81	2439
256	moli11	herb, bush	žùkù	LL	85	no	no	81	2440
316	ocot11	herb, bush	žùkù	LL	85	no	no	81	2441
406	atat11	herb, bush	žūkù	LL	85	no	no	81	2442
514	gran11	herb, bush	žūkù	LL	85	no	no	81	2443
889	cahu11	herb, bush	yǜkǜ	LL	85	no	no	81	2444
1142	chay11	herb, bush	yùkù	LL	85	no	no	81	2445
710	ayut11	leaf	yūkù 	LL	85	no	no	81	2446
1024	prog12	weeds	žǜkǜ	LL	85	no	no	81	2447
69	peno11	flower	ìtá	HL	42	no	no	83	2448
154	coat11	flower	làà	HL	42	no	no	83	2449
227	moli11	flower	ītà	HL	42	no	no	83	2450
290	ocot11	flower	ītà	HL	42	no	no	83	2451
367	atat11	flower	ītā	HL	42	no	no	83	2452
471	gran11	flower	ītā	HL	42	no	no	83	2453
683	ayut11	flower	ìtà	HL	42	no	no	83	2454
788	metl11	flower	ītā	HL	42	no	no	83	2455
856	cahu11	flower	yītā	HL	42	no	no	83	2456
923	mixt11	flower	ītà	HL	42	no	no	83	2457
1069	jica11	flower	ītā	HL	42	no	no	83	2458
1123	chay11	flower	ītà	HL	42	no	no	83	2459
95	peno11	corn	núní	LLʔ	73	no	no	87	2460
250	moli11	corn	nùnì	LLʔ	73	no	no	87	2461
308	ocot11	corn	nùnì	LLʔ	73	no	no	87	2462
395	atat11	corn	nūnì	LLʔ	73	no	no	87	2463
502	gran11	corn	nūnì	LLʔ	73	no	no	87	2464
702	ayut11	corn	nūnìʔ	LLʔ	73	no	no	87	2465
809	metl11	corn	nùnì	LLʔ	73	yes	no	87	2466
809	metl11	corn	nùnī	LLʔ	73	yes	no	87	2467
881	cahu11	corn	nònì	LLʔ	73	no	no	87	2468
1014	prog12	corn	nù̧nì̧	LLʔ	73	no	no	87	2469
1088	jica11	corn	núní	LLʔ	73	no	no	87	2470
90	peno11	tortilla	đítá	LLʔ	68	no	no	92	2471
171	coat11	tortilla	íʔtǎ	LLʔ	68	no	no	92	2472
246	moli11	tortilla	stàà 	LLʔ	68	yes	no	92	2473
305	ocot11	tortilla	šìtà	LLʔ	68	no	no	92	2474
390	atat11	tortilla	stāà	LLʔ	68	no	no	92	2475
497	gran11	tortilla	stāà 	LLʔ	68	yes	no	92	2476
581	caca11	tortilla	đìtà 	LLʔ	68	yes	no	92	2477
639	xaya11	tortilla	đìtà 	LLʔ	68	yes	no	92	2478
699	ayut11	tortilla	štā ̀ʔ	LLʔ	68	no	no	92	2479
747	alac11	tortilla	sìtà	LLʔ	68	no	no	92	2480
806	metl11	tortilla	sītà	LLʔ	68	no	no	92	2481
