ID	PARAMETER_ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	COGIDS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LANGID	IPA	DUPLICATES
138	1_animal	ANIMAL	SanMateoSindihuiMixtec	kɨtɨ-(tata)	kɨtɨ-tata	k ɨ t ɨ + t a t a	11 16	sind1277	619	17.02	-97.3036		75	kɨtɨ+tata	0
139	1_animal	ANIMAL	SanJoseSinicahuaMixtec	kiti	kiti	k i t i	11	sini1243	619	17.2218	-97.5904		54	kiti	0
140	1_animal	ANIMAL	SanJeronimoSosolaMixtec	kiti(tata)	kititata	k i t i + t a t a	11 16		619	17.36657	-97.03295		51	kititata	0
141	1_animal	ANIMAL	SanBartoloSoyaltepecMixtec	ti(tata)	titata	t i + t a t a	15 16	soya1236	619	17.5892	-97.1921		42	titata	0
142	1_animal	ANIMAL	SanJuanTamazolaMixtec	kɨtɨ(xʷi̧ʔna̧)	kɨtɨxʷi̧ʔna̧	k ɨ t ɨ + xʷ ĩ ʔ n ã	11 15	tama1339	619	17.1258	-97.0998		63	kɨtɨxʷĩʔnã	0
143	1_animal	ANIMAL	SantiagoTamazolaMixtec	kiti	kiti	k i t i	11		619	17.67041	-98.2216		133	kiti	0
144	1_animal	ANIMAL	SantaMariaTataltepecMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sant1444	619	17.14222	-97.39407		116	kɨtɨ	0
145	1_animal	ANIMAL	SanSebastianTecomaxtlahuacaMixtec	kítʸì	kítʸì	k i ⁵ tʲ i ¹	11		619	17.34568	-98.0312		99	ki⁵tʲi¹	0
146	1_animal	ANIMAL	SanJuanTeitaMixtec	kiti	kiti	k i t i	11	sanj1282	619	17.1542	-97.3899		64	kiti	0
147	1_animal	ANIMAL	LosTejocotesMixtec	kiti	kiti	k i t i	11		619	17.31342	-97.89609		23	kiti	0
148	1_animal	ANIMAL	TepejilloMixtec	kisi	kisi	k i s i	11		619	18.05265	-97.83906		144	kisi	0
149	1_animal	ANIMAL	SanAntonioTepetlapaMixtec	kiti	kiti	k i t i	11		619	16.54182	-98.06578		40	kiti	0
150	1_animal	ANIMAL	SanPedroySanPabloTeposcolulaMixtec	kete	kete	k e t e	11		619	17.51167	-97.48883		95	kete	0
151	1_animal	ANIMAL	SanPedroTidaaMixtec	kiti	kiti	k i t i	11	tida1235	619	17.4142	-97.3333		92	kiti	0
152	1_animal	ANIMAL	SantiagoTilantongoMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	diux1236	619	17.3596	-97.3861		134	kɨtɨ	0
153	1_animal	ANIMAL	SanAgustinTlacotepecMixtec	kɨȼɨ	kɨȼɨ	k ɨ ts ɨ	11	sana1284	619	17.20365	-97.51853		32	kɨtsɨ	0
154	1_animal	ANIMAL	SantaCatarinaTlaltempanMixtec	kiȼi	kiȼi	k i ts i	11		619	18.61485	-98.08867		104	kitsi	0
155	1_animal	ANIMAL	SantiagoTlazoyaltepecMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sant1446	619	17.0274	-96.99583		135	kɨtɨ	0
156	1_animal	ANIMAL	SantaMariaTonahuixtlaMixtec	kisi	kisi	k i s i	11		619	18.20057	-97.89437		117	kisi	0
157	1_animal	ANIMAL	TotoltepecGuerreroMixtec	kisi	kisi	k i s i	11	chaz1235	619	18.22581	-97.85526		146	kisi	0
