__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3809,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nu⁴u⁴,"reduce, lower",bajar,intr,Bimoraic,nu³u³,nu²u²,nu⁴u⁴,,,,33,22,44,I.a,Invariant
3811,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,sa⁴ka⁴,mix,mezclar,tr,Bimoraic,sa³ka⁴,sa²ka⁴,sa⁴ka⁴,,,,34,24,44,I.a,Invariant
3812,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,sa⁴ña⁴,release,soltar,tr,Bimoraic,sa³ña⁴,sa²ña⁴,sa⁴ña⁴,,,,34,24,44,I.a,Invariant
3813,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,sa⁴ta⁴,buy,comprar,tr,Bimoraic,sa³ta⁴,sa²ta⁴,sa⁴ta⁴,,,,34,24,44,I.a,Invariant
3815,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴a⁴,write,escribir,tr,Bimoraic,ta³a³,ta²a²,ta⁴a⁴,,,,33,22,44,I.a,Invariant
3816,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴an⁴,put,poner,tr,Bimoraic,ta³an⁴,ta²an⁴,ta⁴an⁴,,,,34,24,44,I.a,Invariant
3819,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴ʔmi⁴,smell,oler,tr,Bimoraic,ta³ʔmi³,ta²ʔmi²,ta⁴ʔmi⁴,,,,33,22,44,I.a,Invariant
3822,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴va⁴,take out,sacar,tr,Bimoraic,ta³va⁴,ta²va⁴,ta⁴va⁴,,,,34,24,44,I.a,Invariant
3823,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴ʔvi⁴,break,quebrar,tr,Bimoraic,ta³ʔvi⁴,ta²ʔvi⁴,ta⁴ʔvi⁴,,,,34,24,44,I.a,Invariant
3824,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ta⁴xi⁴,allow,permitir,tr,Bimoraic,ta³xi³,ta²xi²,ta⁴xi⁴,,,,33,22,44,I.a,Invariant
3826,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti⁴in⁴,grab,agarrar,tr,Bimoraic,ti³in³,ti²in²,ti⁴in⁴,,,,33,22,44,I.a,Invariant
3828,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ti⁴so⁴,put on top,poner encima,tr,Bimoraic,ti³so⁴,ti²so⁴,ti⁴so⁴,,,,34,24,44,I.a,Invariant
