"doc_id","citekey","code","branch","lex_est","lex_type","tones_marked","med_type","status","permission","digitized"
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
,,"gran11~pena11","Mixtec",,,,"specific_topic",,,
,,"GROUP","Cuicatec, Mixtec",0,,,"specific_topic",,,
,,"GROUP","Triqui, Mixtec, Cuicatec",0,,,"specific_topic",,,
,,"GROUP","Mixtec",,,,"pedagogical_grammar","unavailable",,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"GROUP","Mixtec",,,,"pedagogical_material",,,
,,"heun11","Mixtec",,,,"specific_topic",,,
,,"huaj11","Mixtec",,,,"specific_topic",,,
,,"huaj11","Mixtec",,,,"specific_topic",,,
,,"huit11","Mixtec",,,,"specific_topic",,,
,,"huit11","Mixtec",,,,"specific_topic",,,
,,"itun12","Triqui",,,,"specific_topic",,,
,,"itun12","Triqui",,,,"specific_topic",,,
,,"itun12","Triqui",,,,"specific_topic",,,
,,"itun12","Triqui",,,,"specific_topic",,,
,,"itun12","Triqui",,,,"specific_topic",,,
,,"ixpa11","Mixtec",,,,"specific_topic",,,
,,"jica11","Mixtec",,,,"specific_topic",,,
,,"jica12","Mixtec",,,,"specific_topic",,,
,,"metl11","Mixtec",,,,"specific_topic",,,
,,"mixt11","Mixtec",,,,"specific_topic",,,
,,"mixt11","Mixtec",,,,"specific_topic",,,
,,"mixt11","Mixtec",,,,"specific_topic",,,
,,"moli11","Mixtec",,,,"specific_topic",,,
,,"moli11","Mixtec",,,,"specific_topic",,,
,,"moli11","Mixtec",,,,"specific_topic",,,
,,"numi11","Mixtec",,,,"specific_topic",,,
,,"nuyo11","Mixtec",,,,"specific_topic",,,
,,"nuyo11~nuxa11~tezo11","Mixtec",,,,"specific_topic",,,
,,"ocot11","Mixtec",,,,"specific_topic",,,
,,"ocot11","Mixtec",,,,"specific_topic",,,
,,"papa11","Cuicatec",0,,,"grammar_sketch",,,
,,"papa11","Cuicatec",0,,,"specific_topic",,,
,,"papa11","Cuicatec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"pedagogical_material",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11","Mixtec",,,,"specific_topic",,,
,,"pena11~ADD","Mixtec",,,,"specific_topic","many, need to be taken from the doc itself",,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"peno11","Mixtec",,,,"specific_topic",,,
,,"sila11","Mixtec",,,,"pedagogical_material",,,
,,"sila11","Mixtec",,,,"specific_topic",,,
,,"sila11","Mixtec",,,,"specific_topic",,,
,,"sila11","Mixtec",,,,"specific_topic",,,
,,"tepe13","Cuicatec",0,,,"grammar_sketch",,,
,,"tepe13","Cuicatec",0,,,"specific_topic",,,
,,"tepe13","Cuicatec",,,,"specific_topic",,,
,,"teut11","Cuicatec",,,,"specific_topic",,,
,,"teut11","Cuicatec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tezo11","Mixtec",,,,"specific_topic",,,
,,"tila11","Mixtec",,,,"specific_topic",,,
,,"tutu11","Mixtec",,,,"specific_topic",,,
,,"yolo11","Mixtec",,,,"specific_topic",,,
,,"yolo11","Mixtec",,,,"specific_topic",,,
,,"yoso11","Mixtec",,,,"pedagogical_material",,,
,,"yoso11","Mixtec",,,,"specific_topic",,,
,,"yoso11","Mixtec",,,,"specific_topic",,,
,,"yucu16","Mixtec",,,,"specific_topic",,,
,,,"Mixtec",,,,"pedagogical_material",,,
,,,"Mixtec",,,,"specific_topic",,,
,,,"Mixtec",,,,"specific_topic",,,
,,,"Mixtec",,,,"specific_topic",,,
