Grapheme1,Grapheme2,IPA,Class,Status,Comments,Source,Doculect
ân,NA,ã51,VT,NA,NA,kuiper1991syntactic,diux11
ân,NA,ã51,VT,NA,NA,oxnard2020,flor12
ân,NA,ã51,CVC,NA,NA,oxnard2020,pied12
â̧,NA,ã51,VT,NA,NA,NA,NA
â̧,NA,ã51,V,NA,NA,NA,NA
áàn,NA,ã5ã1,VT,NA,NA,galindo-sanchez2009vocabulario,abas11
áan,NA,ã5ã1,VT,NA,NA,zylstra1991syntactic,alac11
áān,NA,ã5ã1,VT,NA,NA,alexander1980gramatica,atat11
áan,NA,ã5ã1,VT,NA,NA,hills1990syntactic,ayut11
áàn,NA,ã5ã1,VT,NA,NA,oxnard2020,bate11
áàn,NA,ã5ã1,VT,NA,NA,pensinger1974diccionario,chay11
áān,NA,ã5ã1,VT,NA,NA,small1990syntactic,coat11
