LEXEME,IMPF,PFV,IRR
V221_yivintxaa,ʒiβiⁿd͡ʑaa,iʒiβiⁿd͡ʑaa,ʒiβiⁿd͡ʑaa
V222_chikili,t͡ʃikili,it͡ʃikili,t͡ʃikili
V223_txa'ntxa,t͡ɕaʔⁿd͡ʑa,it͡ɕaʔⁿd͡ʑa,t͡ɕaʔⁿd͡ʑa
V224_kuntasi,kuⁿdasi,ikuⁿdasi,kuⁿdasi
V225_kuntakaa,ⁿdakaa,iɕiⁿdakaa,kuⁿdakaa
V226_cho'o,t͡ʃoʔo,it͡ʃoʔo,t͡ʃoʔo
V227_kuva'a,kuβaʔa,ikuβaʔa,kuβaʔa
V228_kee,kee,ikee,kee
V229_kai,kai,ikai,kai
V230_ka'a,kaʔa,ikaʔa,kaʔa
V231_sakuachi,sakuat͡ʃi,isakuat͡ʃi,sakuat͡ʃi
V232_shita,ʃita,iʃita,ʃita
V233_ntakaxi,ⁿdakaɕi,iⁿdakaɕi,ⁿdakaɕi
V234_txaa,t͡ɕaa,it͡ɕaa,t͡ɕaa
V235_sana'a,sanaʔa,isanaʔa,sanaʔa
V236_ntuva'a,ⁿduβaʔa,iⁿduβaʔa,ⁿduβaʔa
V237_saka,saka,isaka,saka
V238_chita'an,t͡ʃitaʔã,it͡ʃitaʔã,t͡ʃitaʔã
V239_ntakuni,ⁿdakuni,iⁿdakuni,ⁿdakuni
V240_sanuntxa'a,sanuⁿd͡ʑaʔa,isanuⁿd͡ʑaʔa,sanuⁿd͡ʑaʔa
V241_kununu,ɕikanu,iɕikanu,kununu
V242_kakintxaa,ɕakiⁿd͡ʑaa,iɕakiⁿd͡ʑaa,kakiⁿd͡ʑaa
V243_ta'vi,taʔβi,itaʔβi,taʔβi
V244_kavanuu,kaβanuu,ikaβanuu,kaβanuu
V245_ntisaka,ⁿdisaka,iⁿdisaka,ⁿdisaka
V246_saa,saa,isaa,saa
V247_kuntaa,kuⁿdaaini,ikuⁿdaaini,kuⁿdaaini
V248_ntxikokoo,ⁿd͡ʑikokoo,iⁿd͡ʑikokoo,ⁿd͡ʑikokoo
V249_kukuaan,kuãã,ikukuãã,kukuãã
V250_kuxiva'a,ɕuβaʔa,ikuɕiβaʔa,kuɕiβaʔa
V251_kukuii,kuii,ikukuii,kukuii
V252_kuita,kuita,ikuita,kuita
V253_kuntxee,kuⁿd͡ʑee,ikuⁿd͡ʑee,kuⁿd͡ʑee
V254_shu'un,ʃuʔũ,iʃuʔũ,ʃuʔũ
V255_sana,sana,isana,sana
V256_ntatava,ⁿdataβa,iⁿdataβa,ⁿdataβa
V257_chintxaa,t͡ʃiⁿd͡ʑaa,it͡ʃiⁿd͡ʑaa,t͡ʃiⁿd͡ʑaa
V258_xixin,ɕiɕĩ,iɕiɕĩ,ɕiɕĩ
V259_chiko'va,t͡ʃikoʔβa,it͡ʃikoʔβa,t͡ʃikoʔβa
V260_sakee,sakee,isakee,sakee
V261_sakoyo,sakoʒo,isakoʒo,sakoʒo
V262_kuntxitxa,kuⁿd͡ʑit͡ɕa,ikuⁿd͡ʑit͡ɕa,kuⁿd͡ʑit͡ɕa
V263_numi,numi,inumi,numi
